Time Index,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,100.0682119202449769,62.9071888718389474,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,0.500031,100.0731006461049191,105.9153055935360328,62.9061618354555918,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,0.500061,100.1361009681632623,106.4103559400858501,106.4404648410925915,62.9051348668537855,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5,0.500092,100.2693266211152405,106.1085809560248236,106.5346785418307434,106.4404648414122647,62.9041079660257552,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,0.500122,100.4829631323217995,106.2993716064891743,106.1623401443200692,106.5346785419276898,106.4404648414122647,62.9030811329637629,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7,0.500153,100.6931159100642219,106.2136455511558495,106.3284781486747477,106.162340144367505,106.5346785419276898,106.4404648414122505,62.9020543676600212,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,0.500183,100.8672299395480678,106.1646101142803076,106.2275062668944088,106.3284781486982524,106.162340144367505,106.5346785419276898,106.4404648414122647,62.9010276701067781,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9,0.500214,100.9611064507016351,105.8810683384600964,106.1706810303544444,106.2275062669186525,106.3284781486982524,106.162340144367505,106.5346785419276898,106.4404648414122505,62.9000010402962602,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10,0.500244,101.0353401982671784,105.2843952000689001,105.8819507673379547,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898,106.4404648414122647,62.8989744782207367,-nan,-nan,-nan,-nan,-nan,-nan
11,0.500275,101.0968192412883724,105.2818241291906105,105.2810817317641749,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.162340144367505,106.5346785419276898,106.4404648414122647,62.8979479838723989,-nan,-nan,-nan,-nan,-nan
12,0.500305,101.1522568741250154,105.1848796887813506,105.2752807969299909,105.2810817317567853,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898,106.4404648414122647,62.8969215572435516,-nan,-nan,-nan,-nan
13,0.500336,101.2017782516263082,105.1389890788475014,105.1761988288741776,105.275280796906344,105.2810817317567853,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898,106.4404648414122647,62.8958951983263503,-nan,-nan,-nan
14,0.500366,101.3224884961272494,105.1521826041622489,105.1286375236383606,105.1761988288400431,105.275280796906344,105.2810817317567995,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898,106.4404648414122505,62.8948689071131426,-nan,-nan
15,0.500397,101.3650585661305428,105.1670609351864698,105.1405216049784599,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567853,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898,106.4404648414122647,62.8938426835961053,-nan
16,0.500427,101.4716228284546418,105.1338961677359123,105.1543338924213344,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567995,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.162340144367505,106.5346785419276898,106.4404648414122647,62.892816527767522
17,0.500458,101.5127463249705215,105.1502622998645364,105.1202442723901385,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567853,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898,106.4404648414122647
18,0.500488,101.551316586356478,105.1665921911740895,105.135876066276154,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567853,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192,106.5346785419276898
19,0.500519,101.5876674561143034,104.6350270448393189,105.1515879348878428,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567853,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524,106.1623401443675192
20,0.500549,101.6309804279624274,104.6583782738650825,104.6213239303500444,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567995,105.8819507673345441,106.1706810303636104,106.2275062669186525,106.3284781486982524
21,0.50058,101.6643033602236557,104.6805456326249839,104.6440865259594659,104.6213239302677067,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567995,105.8819507673345441,106.1706810303636104,106.2275062669186525
22,0.50061,101.6960782538558306,104.7015988691712636,104.6657455997835626,104.6440865258700086,104.6213239302677067,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567853,105.8819507673345441,106.1706810303636104
23,0.500641,101.7264597872750613,104.7216101538496957,104.6863576657195125,104.6657455996872415,104.6440865258700086,104.6213239302677067,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567995,105.8819507673345441
24,0.500671,101.7555795920657147,104.7357544090011174,104.7059843388010876,104.6863576656165691,104.6657455996872415,104.6440865258700086,104.6213239302677067,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344,105.2810817317567853
25,0.500702,101.7835507136362736,104.7538822978463031,104.7246879549231693,104.7059843386917635,104.6863576656165833,104.6657455996872415,104.6440865258700086,104.6213239302677067,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431,105.275280796906344
26,0.500732,101.8062647056647023,104.7706440651237756,104.7425291507914835,104.7246879548076492,104.7059843386917635,104.6863576656165691,104.6657455996872415,104.6440865258700086,104.6213239302677067,105.1515879348028477,105.1358760661985912,105.120244272320349,105.1543338923598867,105.1405216049255671,105.1286375235944917,105.1761988288400431
27,0.500763,101.8579786914086469,104.8023122486025613,104.7751806314279577,104.7588155233743521,104.7416855848892965,104.7237332264375311,104.7048961355381067,104.6851073976783937,104.6642960348299169,104.6423882655204807,104.6193099950651231,105.1494010596873778,105.1332088408577619,105.1169216254915426,105.1503814542070216,105.135326732137429
28,0.500824,101.9065926663055137,104.8313892397499245,104.8051723233385957,104.7901059410469031,104.7743627972848799,104.7578909531031428,104.7406330156522785,104.722525442663752,104.7034977310310353,104.683471438005455,104.6623589234333878,104.6400615524267295,104.6164667150862329,105.1461873478291125,105.1290952163194987,105.111456677472674
29,0.500854,102.0519791281583366,104.8815541243777432,104.8567969759158132,104.8437295801913507,104.8301072996396499,104.8158856529010592,104.8010141828607402,104.785435116274968,104.7690815350970155,104.7518747953812834,104.7337207365611107,104.7145038477916756,104.6940777780076104,104.6722488266127868,104.648744712385664,104.6231486017124723
30,0.500977,102.2262375531437328,104.9597427123229494,104.9370387643890723,104.9265705246294544,104.9156835716775902,104.9043417908091698,104.8925033043443875,104.8801189725957386,104.8671303264796961,104.8534666379739235,104.839040634936012,104.8237419897533442,104.8074269525316424,104.7899008444904325,104.7708861226029882,104.7499575858703338
31,0.501038,102.5100559945377228,105.0663979070830294,105.0462312031265242,105.0385056590519923,105.0304812175233451,105.0221296916043769,105.0134179955259413,105.0043068345440673,104.9947489027929493,104.9846863395106169,104.974047027374894,104.9627390037000225,104.9506416290914643,104.9375908005767144,104.9233522322959686,104.9075678112138803
32,0.501282,102.9451730670700726,105.1921940896559704,105.1748586778145409,105.1694791197442385,105.1638869097257043,105.1580602774335773,105.151973530403481,105.1455959999803866,105.1388905934769156,105.1318117539035626,105.1243024972050932,105.1162899507790627,105.1076783267972701,105.0983372067147315,105.088080489032734,105.0766244406166265
33,0.501404,103.6175061739093906,105.3222304178000428,105.3078185184638187,105.3041417515698868,105.3003091240126281,105.2963037751510598,105.2921057686782405,105.2876912666788627,105.283031396884553,105.2780906591597727,105.272824616509979,105.2671764276954463,105.2610714056306449,105.2544079867180358,105.2470416032389409,105.2387528199164421
34,0.501892,104.318885897098852,105.4424820200406714,105.4319230233470819,105.4293785897548617,105.4267170764195498,105.4239254736477562,105.4209883941465193,105.4178874365990026,105.4146003146036605,105.4110996337339259,105.4073511238608916,105.4033109927720488,105.3989217890471508,105.3941055702312042,105.3887517814303294,105.3826935188613447
