Time Index,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,12.5816431952023304,12.5814377743677905,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,1,12.5816431952023269,12.5814377743677905,12.5812323670911184,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,1.5,12.5816431952023304,12.5814377743677923,12.5812323670911184,12.5810269733707578,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5,2,12.5816431952023269,12.5814377743677923,12.5812323670911219,12.581026973370756,12.580821593205151,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,2.5,12.5816431952023304,12.5814377743677923,12.5812323670911184,12.581026973370756,12.5808215932051546,12.5806162265927526,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7,3,12.5816431952023304,12.5814377743677923,12.5812323670911219,12.5810269733707578,12.580821593205151,12.5806162265927526,12.5804108735320046,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,3.5,12.5816431952023304,12.5814377743677905,12.5812323670911166,12.5810269733707578,12.580821593205151,12.5806162265927526,12.5804108735320082,12.5802055340213563,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9,4,12.5816431952023304,12.5814377743677905,12.5812323670911219,12.5810269733707578,12.580821593205151,12.5806162265927526,12.5804108735320046,12.5802055340213563,12.5800002080592535,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10,4.5,12.5816431952023269,12.5814377743677923,12.5812323670911219,12.5810269733707578,12.580821593205151,12.5806162265927561,12.5804108735320046,12.5802055340213563,12.5800002080592552,12.5797948956441488,-nan,-nan,-nan,-nan,-nan,-nan
11,5,12.5816431952023269,12.5814377743677923,12.5812323670911184,12.5810269733707578,12.580821593205151,12.5806162265927561,12.5804108735320082,12.5802055340213599,12.5800002080592535,12.5797948956441452,12.5795895967744809,-nan,-nan,-nan,-nan,-nan
