Time Index,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,113.2347887568209615,113.2329399693101095,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,1,113.2347887568209472,113.2329399693101095,113.2310913038200653,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,1.5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368168,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5,2,113.2347887568209472,113.2329399693101379,113.2310913038200937,113.2292427603368026,113.2273943388463664,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,2.5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463806,113.2255460393347732,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7,3,113.2347887568209615,113.2329399693101379,113.2310913038200937,113.2292427603368168,113.2273943388463664,113.2255460393347732,113.2236978617880396,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,3.5,113.2347887568209615,113.2329399693101095,113.2310913038200368,113.2292427603368168,113.2273943388463664,113.2255460393347732,113.2236978617880681,113.2218498061921963,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9,4,113.2347887568209615,113.2329399693101095,113.2310913038200937,113.2292427603368168,113.2273943388463664,113.2255460393347732,113.2236978617880396,113.2218498061921963,113.220001872533274,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10,4.5,113.2347887568209472,113.2329399693101379,113.2310913038200937,113.2292427603368168,113.2273943388463664,113.2255460393348017,113.2236978617880396,113.2218498061921963,113.2200018725333024,113.2181540607973318,-nan,-nan,-nan,-nan,-nan,-nan
