Time Index,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,47.2569683074873126,12.5814377743677905,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,0.500031,47.2679254712628705,90.6475500683648505,12.5812323670911184,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,0.500061,47.4571480589199268,91.5386406921545301,91.5928367139666761,12.5810269733707578,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5,0.500092,47.7561923989954451,90.9954457208446854,91.7624213752953466,91.5928367145420737,12.580821593205151,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,0.500122,48.1845417984930435,91.3388688916805052,91.092212259776133,91.7624213754698275,91.5928367145420737,12.5806162265927526,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7,0.500153,48.6379377572805254,91.1845619920805319,91.3912606676145458,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5804108735320046,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,0.500183,48.9863455253784252,91.0962982057045565,91.2095112804099273,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5802055340213563,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9,0.500214,49.1957326532289869,90.5859230092281535,91.1072258546379885,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5800002080592535,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10,0.500244,49.3648545295747709,86.5867558141813447,90.5875113812083157,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5797948956441488,-nan,-nan,-nan,-nan,-nan,-nan
11,0.500275,49.5112254013076054,86.5417281611169926,86.544222736656593,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5795895967744809,-nan,-nan,-nan,-nan,-nan
12,0.500305,49.6406878235088698,85.5195287319088919,86.610361690109869,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5793843114487114,-nan,-nan,-nan,-nan
13,0.500336,49.7573749924040243,85.2526213449595502,85.6065508737848688,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420594,12.5791790396652701,-nan,-nan,-nan
14,0.500366,49.8639770640446613,85.3627263537524499,85.1463912128579068,85.6065508734302796,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5789737814226292,-nan,-nan
15,0.500397,49.962366240762762,85.4922850324142161,85.2403240533349447,85.1463912124072806,85.6065508734302796,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420594,12.5787685367192221,-nan
16,0.500427,50.0605001917817276,85.1734374135933905,85.3560419448160701,85.2403240527792292,85.1463912124072806,85.6065508734302796,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737,12.5785633055535051
17,0.500458,50.1467322671316467,85.3171460423140786,85.0291837058624793,85.3560419441580507,85.2403240527792292,85.1463912124072806,85.6065508734302938,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275,91.5928367145420737
18,0.500488,50.227944216019921,85.4642372274844035,85.1625759591579055,85.0291837051248649,85.3560419441580507,85.2403240527792292,85.1463912124072806,85.6065508734302796,86.6103616898531214,86.544222736562844,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526,91.7624213754698275
19,0.500519,50.3047751387296458,81.416001864919167,85.300525014351436,85.1625759583248367,85.0291837051248649,85.3560419441580507,85.2403240527792292,85.1463912124072806,85.6065508734302796,86.6103616898531072,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515,91.092212259861526
20,0.500549,50.3777429632194398,81.5509253195512827,81.2976387690838749,85.3005250134247603,85.1625759583248367,85.0291837051248649,85.3560419441580507,85.2403240527792292,85.1463912124072806,85.6065508734302796,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972,91.3912606676568515
21,0.50058,50.4472740919895273,81.6820845849184423,81.4258561966602912,81.2976387683743837,85.3005250134247603,85.1625759583248367,85.0291837051248649,85.3560419441580507,85.2403240527792292,85.1463912124072664,85.6065508734302938,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015,91.2095112804535972
22,0.50061,50.5137243469992043,81.8094609015962533,81.5509603636495939,81.4258561958794189,81.297638768374398,85.3005250134247603,85.1625759583248367,85.0291837051248649,85.3560419441580507,85.240324052779215,85.1463912124072806,85.6065508734302796,86.6103616898531214,86.5442227365628725,90.5875113812021908,91.1072258546545015
23,0.500641,50.5773941459175944,81.9331050840531674,81.6728438032363044,81.5509603627986195,81.4258561958794189,81.297638768374398,85.3005250134247603,85.1625759583248367,85.0291837051248791,85.3560419441580507,85.2403240527792292,85.1463912124072806,85.6065508734302796,86.6103616898531214,86.5442227365628725,90.5875113812021908
