dim_1,dim_2,dim_3,value
1,15,8,141828403.14080411195755
1,15,9,166005590.9634400904178619
1,15,10,1562956893.7599220275878906
1,15,11,2027721501.4219560623168945
1,15,12,2341529495.4931731224060059
1,15,13,3030112083.9955563545227051
1,15,14,5283980532.1572265625
1,15,15,44550117.3482393175363541
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
2,1,1,341940.2545269947149791
2,1,2,1066469.3636661826167256
2,1,3,3366782.3400535332038999
2,1,4,4655310.5548878377303481
2,1,5,3959543.4829426310025156
2,1,6,8665602.0409911442548037
2,1,7,16376626.9911238625645638
2,1,8,12271568.4305051956325769
2,1,9,17222419.0523554384708405
2,1,10,20604754.8320242054760456
2,1,11,18161914.9032602645456791
2,1,12,31146780.7467260025441647
2,1,13,32211579.3686983250081539
2,1,14,32570082.3851888738572598
2,1,15,3366462.8477178863249719
2,1,16,0
2,2,1,938315.5197074209572747
2,2,2,672854.2953956039855257
2,2,3,6586853.0010360991582274
2,2,4,9930649.2321067806333303
2,2,5,11582700.7316818665713072
2,2,6,16510404.683413615450263
2,2,7,21260560.5161074809730053
2,2,8,24307728.8947023749351501
2,2,9,35650201.7610249668359756
2,2,10,39717753.8608739748597145
2,2,11,27815545.1522345617413521
2,2,12,55831896.5226232782006264
2,2,13,31879307.0823772214353085
2,2,14,80607347.1011713445186615
2,2,15,7954612.3552292725071311
2,2,16,0
2,3,1,1611990.8824379693251103
2,3,2,10008490.7120670247823
2,3,3,1629600.6020854567177594
2,3,4,15111363.9681979287415743
2,3,5,16420795.2822973635047674
2,3,6,37764765.6038003489375114
2,3,7,32880356.3608821481466293
2,3,8,173326183.968084990978241
2,3,9,35953916.1657503023743629
2,3,10,114132285.7843378931283951
2,3,11,120285855.8231357634067535
2,3,12,128234039.7342780381441116
2,3,13,225739304.7227842807769775
2,3,14,261065150.5906912982463837
2,3,15,4019805.846625757869333
2,3,16,0
2,4,1,1458701.3833857127465308
2,4,2,6768124.2367986068129539
2,4,3,17449921.3861127682030201
2,4,4,2930251.3589031272567809
2,4,5,26631018.2032047733664513
2,4,6,62146166.2562279105186462
2,4,7,85496792.9523284882307053
2,4,8,444258404.2607856392860413
2,4,9,88859439.0743262320756912
2,4,10,101070762.1872715502977371
2,4,11,80745912.4780597388744354
2,4,12,180303506.6807500720024109
2,4,13,118152299.0999037623405457
2,4,14,183744134.5194590985774994
2,4,15,22167048.8666747361421585
2,4,16,0
2,5,1,2836464.1092176865786314
2,5,2,9075212.222142405807972
2,5,3,15229265.0189426969736814
2,5,4,31764740.1846345327794552
2,5,5,3992143.0012616952881217
2,5,6,86460919.9557033330202103
2,5,7,83919112.4369602650403976
2,5,8,73726925.9639424383640289
2,5,9,259692581.4504753649234772
2,5,10,144382127.8819127380847931
2,5,11,217165728.4818241000175476
2,5,12,388601734.5797160863876343
2,5,13,457350068.0117079615592957
2,5,14,129937310.2784578949213028
2,5,15,31369765.1959990076720715
2,5,16,0
2,6,1,6255676.4453749675303698
2,6,2,16943124.30742347240448
2,6,3,18662049.6805466413497925
2,6,4,27835370.1062454618513584
2,6,5,60000475.4244732409715652
2,6,6,6282245.358596227131784
2,6,7,96579264.8285882771015167
2,6,8,184944296.6114882528781891
2,6,9,120733302.7090693861246109
2,6,10,205194344.2579129636287689
2,6,11,255801285.9515424072742462
2,6,12,260050670.1250749528408051
2,6,13,105029039.031916469335556
2,6,14,253595459.9260716736316681
2,6,15,43478496.6118679419159889
2,6,16,0
2,7,1,3611984.1694676959887147
2,7,2,11352965.8280608803033829
2,7,3,47187849.0378352776169777
2,7,4,24831873.5146096386015415
2,7,5,58346864.8125515803694725
2,7,6,179560179.6326568722724915
2,7,7,7881724.9673270899802446
2,7,8,194968247.8285350799560547
2,7,9,544966591.458848237991333
2,7,10,236240049.8409689366817474
2,7,11,189699523.9455240666866302
2,7,12,293980241.9290191531181335
2,7,13,754597179.2575268745422363
2,7,14,151354914.4162421822547913
2,7,15,59082172.6856456026434898
2,7,16,0
2,8,1,4136134.6274880785495043
2,8,2,12461760.8930673934519291
2,8,3,60793572.0815329030156136
2,8,4,72162916.3921060562133789
2,8,5,76446963.7089420557022095
2,8,6,90154481.4577800780534744
2,8,7,86357584.6568045765161514
2,8,8,10315715.2438682373613119
2,8,9,420953809.994093120098114
2,8,10,376572603.5793764591217041
2,8,11,657695499.718669056892395
2,8,12,778474499.8151689767837524
2,8,13,262597786.8801906108856201
2,8,14,1136658130.7209217548370361
2,8,15,77152505.7137658596038818
2,8,16,0
2,9,1,7054445.0604087915271521
2,9,2,26172878.9447378776967525
2,9,3,69203723.2523564547300339
2,9,4,103738539.6099616289138794
2,9,5,85172918.3756452947854996
2,9,6,179195949.9046377837657928
2,9,7,84062725.6657305955886841
2,9,8,149167285.285345047712326
2,9,9,11253893.8977652098983526
2,9,10,291839198.7731846570968628
2,9,11,993789191.2873616218566895
2,9,12,1002930505.8274378776550293
2,9,13,1216431445.8476700782775879
2,9,14,1462562649.7165894508361816
2,9,15,101218324.830935463309288
2,9,16,0
2,10,1,3252353.5436594467610121
2,10,2,19158437.8913944102823734
2,10,3,30896867.9929495975375175
2,10,4,41244448.1099524274468422
2,10,5,108427965.4887145012617111
2,10,6,115543608.8030251562595367
2,10,7,342470351.8216079473495483
2,10,8,2516914585.5356168746948242
2,10,9,216533083.2168101668357849
2,10,10,12686794.2339565549045801
2,10,11,2160522358.7661590576171875
2,10,12,1353412207.5371534824371338
2,10,13,1578889599.9245553016662598
2,10,14,240447104.6314687132835388
2,10,15,177862594.7784464955329895
2,10,16,0
2,11,1,5257600.6305816071107984
2,11,2,22055431.3221278339624405
2,11,3,40302857.4577158838510513
2,11,4,61944300.1996815055608749
2,11,5,179756121.9575189054012299
2,11,6,260574977.1322547197341919
2,11,7,128254851.4824762046337128
2,11,8,248754669.2160083949565887
2,11,9,105830341.6391321420669556
2,11,10,127831759.1762714236974716
2,11,11,8045322.5030390555039048
2,11,12,2217178766.5861806869506836
2,11,13,1971961835.0838501453399658
2,11,14,2624943801.6816115379333496
2,11,15,235701185.702368289232254
2,11,16,0
2,12,1,4855186.0496766837313771
2,12,2,40038896.3971480578184128
2,12,3,37084146.7956703826785088
2,12,4,81119895.0083454549312592
2,12,5,113740473.0096371322870255
2,12,6,147777914.5005402565002441
2,12,7,398587760.8532415628433228
2,12,8,576272067.7401667833328247
2,12,9,932695079.7647882699966431
2,12,10,1992985951.4737601280212402
2,12,11,2803749292.7207403182983398
2,12,12,16042595.9245096947997808
2,12,13,2303140067.9565310478210449
2,12,14,2900729404.7960305213928223
2,12,15,259215825.45725417137146
2,12,16,0
2,13,1,10902359.7538400404155254
2,13,2,13932527.4839079976081848
2,13,3,24333251.3462430983781815
2,13,4,141961476.6963511109352112
2,13,5,65081525.9313929155468941
2,13,6,135382796.7461094856262207
2,13,7,438171591.2679982781410217
2,13,8,174372248.195709228515625
2,13,9,899121070.9250454902648926
2,13,10,178533599.15987429022789
2,13,11,1837725202.3992466926574707
2,13,12,2249556585.7435197830200195
2,13,13,11371356.1687910314649343
2,13,14,3499121491.3501043319702148
2,13,15,382922731.060315728187561
2,13,16,0
2,14,1,6150756.8338592974469066
2,14,2,16786726.2406005673110485
2,14,3,29495069.9666377194225788
2,14,4,71923772.3159804940223694
2,14,5,235605112.9859670400619507
2,14,6,122124640.1282964497804642
2,14,7,146246060.5583724677562714
2,14,8,715726571.5770717859268188
2,14,9,175633940.5066032111644745
2,14,10,1432595643.8644709587097168
2,14,11,1817169584.8918037414550781
2,14,12,2140860001.4866080284118652
2,14,13,2926272715.6488780975341797
2,14,14,16674571.0322944391518831
2,14,15,1306157073.9271509647369385
2,14,16,0
2,15,1,5695509.671238056384027
2,15,2,24231894.0170219093561172
2,15,3,93940359.5788369625806808
2,15,4,156877499.6172666251659393
2,15,5,88495823.7045444250106812
2,15,6,110471587.1946481913328171
2,15,7,47139805.1195683032274246
2,15,8,139628322.0029378831386566
2,15,9,162905624.2864311635494232
2,15,10,1571043046.5579342842102051
2,15,11,2057017915.573678731918335
2,15,12,2362485155.0513501167297363
2,15,13,3039113872.2451896667480469
2,15,14,5298619514.7856235504150391
2,15,15,43308396.0136410817503929
2,15,16,0
2,16,1,0
2,16,2,0
2,16,3,0
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,16,11,0
2,16,12,0
2,16,13,0
2,16,14,0
2,16,15,0
2,16,16,0
3,1,1,49717.3716175585504971
3,1,2,1050601.0321626157965511
3,1,3,3365099.9754655258730054
3,1,4,4651421.8342239474877715
3,1,5,3954449.4830941073596478
3,1,6,8656667.2257346175611019
3,1,7,16370327.4656524434685707
3,1,8,12256451.4877582769840956
3,1,9,17218727.0584212280809879
3,1,10,20601509.2721474766731262
3,1,11,18150967.1813282556831837
3,1,12,31144937.4215348213911057
3,1,13,32203299.0805251859128475
3,1,14,32555288.1694994010031223
3,1,15,3368751.6465721540153027
3,1,16,0
3,2,1,920344.9432313793804497
3,2,2,520985.9916956612141803
3,2,3,6567673.0679079638794065
3,2,4,9919266.4274589587002993
3,2,5,11567013.3869738020002842
3,2,6,16487945.8838589321821928
3,2,7,21230966.0242681354284286
3,2,8,24273528.3375771716237068
3,2,9,35633046.1414265185594559
3,2,10,39698058.1827820017933846
3,2,11,27786080.028510320931673
3,2,12,55803053.9511211365461349
3,2,13,31841677.5629948079586029
3,2,14,80573043.4808407425880432
3,2,15,7959576.3474800502881408
3,2,16,0
3,3,1,1610787.3438599263317883
3,3,2,9995588.324652461335063
3,3,3,1576827.1438245149329305
3,3,4,15087560.9240907374769449
3,3,5,16397466.9817305728793144
3,3,6,37719740.5041335001587868
3,3,7,32832036.7012045904994011
3,3,8,173529868.5451255738735199
3,3,9,35915823.6816354766488075
3,3,10,114164874.1919784992933273
3,3,11,120290280.2709251046180725
3,3,12,128214945.448779284954071
3,3,13,225878725.3202854096889496
3,3,14,261226152.4344034492969513
3,3,15,4015203.9043605010956526
3,3,16,0
3,4,1,1456845.7997021430637687
3,4,2,6759315.3671210575848818
3,4,3,17428270.9935550391674042
3,4,4,2913512.0400315872393548
3,4,5,26591367.8873543031513691
3,4,6,62078598.9115460962057114
3,4,7,85403830.5309787392616272
3,4,8,445541740.2586673498153687
3,4,9,88807060.791159600019455
3,4,10,101013166.2135024815797806
3,4,11,80663794.3945822566747665
3,4,12,180257545.135987401008606
3,4,13,118035478.7388001680374146
3,4,14,183619318.7056012451648712
3,4,15,22179367.1154315136373043
3,4,16,0
3,5,1,2833957.2737532528117299
3,5,2,9063550.4264035504311323
3,5,3,15207583.181085055693984
3,5,4,31722086.924840584397316
3,5,5,3983978.1320425923913717
3,5,6,86367351.2106004655361176
3,5,7,83786995.3366799354553223
3,5,8,73608401.9873078018426895
3,5,9,260008496.0026791989803314
3,5,10,144307804.3575610518455505
3,5,11,217123628.4649488925933838
3,5,12,388828516.3690523505210876
3,5,13,457612900.6081979870796204
3,5,14,129771242.3688893467187881
3,5,15,31383999.4272682704031467
3,5,16,0
3,6,1,6258637.1314785480499268
3,6,2,16931152.0722405388951302
3,6,3,18635164.7837527692317963
3,6,4,27794305.9897025115787983
3,6,5,59915669.627414159476757
3,6,6,6272423.9055519104003906
3,6,7,96407411.8660436570644379
3,6,8,184661498.2460083961486816
3,6,9,120599715.640262171626091
3,6,10,205108153.7401784062385559
3,6,11,255702049.5297591388225555
3,6,12,259890509.632494330406189
3,6,13,104877367.9204865694046021
3,6,14,253310955.3023198246955872
3,6,15,43491276.1271326467394829
3,6,16,0
3,7,1,3607971.3923133369535208
3,7,2,11337412.6001377739012241
3,7,3,47168552.9220904931426048
3,7,4,24797828.5313341394066811
3,7,5,58253391.4165338575839996
3,7,6,179448875.215123176574707
3,7,7,7869763.8483663741499186
3,7,8,194563427.9682500064373016
3,7,9,545970600.8830296993255615
3,7,10,236114814.0802291035652161
3,7,11,189494864.2400528490543365
3,7,12,293739231.6220839023590088
3,7,13,754941997.3320044279098511
3,7,14,151110751.6141021847724915
3,7,15,59087636.9892107620835304
3,7,16,0
3,8,1,4131453.0042521003633738
3,8,2,12444598.3342963550239801
3,8,3,60783170.9429976493120193
3,8,4,72088193.4770624488592148
3,8,5,76322575.6549190133810043
3,8,6,89985331.6339782327413559
3,8,7,86182988.9682760536670685
3,8,8,10299412.8427192736417055
3,8,9,420739786.7481265664100647
3,8,10,376563471.8469175100326538
3,8,11,658024324.2784558534622192
3,8,12,778808532.4141950607299805
3,8,13,262223108.972473680973053
3,8,14,1136961037.7172534465789795
3,8,15,77157259.3642566502094269
3,8,16,0
3,9,1,7051938.3703744867816567
3,9,2,26154850.2894722409546375
3,9,3,69198318.8251245319843292
3,9,4,103690871.7344622761011124
3,9,5,85034292.6134659796953201
3,9,6,178938036.1393863558769226
3,9,7,83888133.3073712736368179
3,9,8,148657764.1231171786785126
3,9,9,11234857.6006048955023289
3,9,10,291298998.9110047817230225
3,9,11,995208087.8849319219589233
3,9,12,1003032310.7630475759506226
3,9,13,1216376331.0601370334625244
3,9,14,1462419437.2827963829040527
3,9,15,101187868.0151260495185852
3,9,16,0
3,10,1,3249817.5197008936665952
3,10,2,19152237.0217117369174957
3,10,3,30877834.6619793958961964
3,10,4,41207368.7956605181097984
3,10,5,108405531.6351728141307831
3,10,6,115448116.8702471107244492
3,10,7,342694349.2279635667800903
3,10,8,2531216693.1260499954223633
3,10,9,216143518.4769538938999176
3,10,10,12670899.8369834460318089
3,10,11,2172511300.9217081069946289
3,10,12,1355012626.8580446243286133
3,10,13,1579684576.9296934604644775
3,10,14,240078717.7183085381984711
3,10,15,177693111.5395000576972961
3,10,16,0
3,11,1,5256030.1591787533834577
3,11,2,22049579.6204958371818066
3,11,3,40287322.7986464127898216
3,11,4,61911945.6353094801306725
3,11,5,179861031.2591345012187958
3,11,6,260728468.0215725302696228
3,11,7,128112788.5364408791065216
3,11,8,248610475.8455284833908081
3,11,9,105670882.5988471955060959
3,11,10,127610159.9113168567419052
3,11,11,8035551.8953464152291417
3,11,12,2228002925.4915509223937988
3,11,13,1973505457.3225765228271484
3,11,14,2626295026.0704555511474609
3,11,15,235669202.7977590560913086
3,11,16,0
3,12,1,4852540.6742642875760794
3,12,2,40064995.4381664246320724
3,12,3,37060625.3650016188621521
3,12,4,81098515.3684837967157364
3,12,5,113692321.1834674179553986
3,12,6,147685503.880870908498764
3,12,7,398765815.4713647961616516
3,12,8,576578037.0470496416091919
3,12,9,934628513.4004300832748413
3,12,10,2007093280.2589256763458252
3,12,11,2831140660.5233302116394043
3,12,12,16039656.80931481346488
3,12,13,2308824487.6055989265441895
3,12,14,2905817993.0425448417663574
3,12,15,259454538.4336699843406677
3,12,16,0
3,13,1,10909874.0973829887807369
3,13,2,13918349.8421020898967981
3,13,3,24306126.3336118943989277
3,13,4,142047023.3108149766921997
3,13,5,65007555.8064723834395409
3,13,6,135263920.9493102729320526
3,13,7,438358526.0378859043121338
3,13,8,174152854.4838082492351532
3,13,9,899409962.4728078842163086
3,13,10,178277088.0346571207046509
3,13,11,1843791130.7084147930145264
3,13,12,2257869952.9451375007629395
3,13,13,11363620.7211821172386408
3,13,14,3501617445.5256452560424805
3,13,15,382944272.9689419269561768
3,13,16,0
3,14,1,6147967.240528080612421
3,14,2,16771180.8304898645728827
3,14,3,29464449.7359750755131245
3,14,4,71874392.3318927139043808
3,14,5,235738116.4127413928508759
3,14,6,121994356.0886771082878113
3,14,7,146056450.4091149568557739
3,14,8,716035043.993013858795166
3,14,9,175346428.7719581723213196
3,14,10,1433212635.5647652149200439
3,14,11,1819370337.2557229995727539
3,14,12,2142920527.4522640705108643
3,14,13,2929006229.4879317283630371
3,14,14,16660484.5878565050661564
3,14,15,1306412152.982351541519165
3,14,16,0
3,15,1,5692180.5489695258438587
3,15,2,24218811.0888171829283237
3,15,3,93998744.5889745950698853
3,15,4,156972456.3495450019836426
3,15,5,88409890.7957980185747147
3,15,6,110340522.658824548125267
3,15,7,47063130.5089974328875542
3,15,8,139425629.2583568692207336
3,15,9,162620955.3285165727138519
3,15,10,1571569962.9227385520935059
3,15,11,2059583686.1363091468811035
3,15,12,2364217027.1847963333129883
3,15,13,3039702655.7411761283874512
3,15,14,5299020602.4839420318603516
3,15,15,43248361.100815013051033
3,15,16,0
3,16,1,0
3,16,2,0
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,16,7,0
3,16,8,0
3,16,9,0
3,16,10,0
3,16,11,0
3,16,12,0
3,16,13,0
3,16,14,0
3,16,15,0
3,16,16,0
4,1,1,49672.7512246959304321
4,1,2,1050540.5060600466094911
4,1,3,3365375.591016813647002
4,1,4,4651550.1598239373415709
4,1,5,3954083.9841370261274278
4,1,6,8656604.3967659082263708
4,1,7,16371887.6079195383936167
4,1,8,12255791.4818497002124786
4,1,9,17217904.6467776224017143
4,1,10,20600154.142058901488781
4,1,11,18149384.2742230072617531
4,1,12,31143041.281936127692461
4,1,13,32201020.6847361661493778
4,1,14,32552676.0958425402641296
4,1,15,3368679.5830975342541933
4,1,16,0
4,2,1,920387.1909482625778764
4,2,2,520902.9823730456409976
4,2,3,6567759.3690649652853608
4,2,4,9919171.3742894604802132
4,2,5,11566260.1856838688254356
4,2,6,16486917.0182610470801592
4,2,7,21229498.9994765594601631
4,2,8,24271405.76512286439538
4,2,9,35630684.8516862243413925
4,2,10,39694869.8245197534561157
4,2,11,27783138.0706506781280041
4,2,12,55798501.842701144516468
4,2,13,31838146.3781983815133572
4,2,14,80566788.3517876714468002
4,2,15,7959387.5184983806684613
4,2,16,0
4,3,1,1610866.522205731831491
4,3,2,9997321.5433035586029291
4,3,3,1576635.7759689160156995
4,3,4,15086837.5790220964699984
4,3,5,16395869.8395747058093548
4,3,6,37719445.8350016921758652
4,3,7,32829065.6201573014259338
4,3,8,173580628.7520694732666016
4,3,9,35912119.415038213133812
4,3,10,114160450.2443158477544785
4,3,11,120283895.6976201683282852
4,3,12,128206883.3539380133152008
4,3,13,225873707.99004265666008
4,3,14,261220307.8658710420131683
4,3,15,4014751.2486474821344018
4,3,16,0
4,4,1,1456743.4387257625348866
4,4,2,6758989.0505948206409812
4,4,3,17428552.5889423452317715
4,4,4,2913167.3143047150224447
4,4,5,26589050.6991335935890675
4,4,6,62079894.7649076133966446
4,4,7,85406291.2275293469429016
4,4,8,445747130.9277202486991882
4,4,9,88801745.1746494472026825
4,4,10,101005017.4481393545866013
4,4,11,80655558.6672853529453278
4,4,12,180245418.596734881401062
4,4,13,118023337.2661549896001816
4,4,14,183602789.6950621008872986
4,4,15,22178611.2806610614061356
4,4,16,0
4,5,1,2834011.9869847414083779
4,5,2,9063134.2896663751453161
4,5,3,15206428.5654017627239227
4,5,4,31721076.8521556779742241
4,5,5,3983504.213527706451714
4,5,6,86370156.0197880864143372
4,5,7,83783182.4321132451295853
4,5,8,73601978.6830578744411469
4,5,9,260046984.2300111055374146
4,5,10,144296690.4393579959869385
4,5,11,217109793.0666393041610718
4,5,12,388819573.5254472494125366
4,5,13,457601766.5423614382743835
4,5,14,129755840.2646432518959045
4,5,15,31382489.9843194074928761
4,5,16,0
4,6,1,6259904.5378111694008112
4,6,2,16932175.297792624682188
4,6,3,18633703.7685513012111187
4,6,4,27791721.2176689021289349
4,6,5,59913778.2733349576592445
4,6,6,6271674.8029199820011854
4,6,7,96401097.5907385349273682
4,6,8,184667652.3169060945510864
4,6,9,120590491.1715595573186874
4,6,10,205094162.6304711997509003
4,6,11,255683124.0786915719509125
4,6,12,259867723.0010331273078918
4,6,13,104864070.5983499586582184
4,6,14,253281062.2548331916332245
4,6,15,43488263.0086950212717056
4,6,16,0
4,7,1,3607885.2192605617456138
4,7,2,11336520.9673265013843775
4,7,3,47173699.1560574099421501
4,7,4,24795065.4770460911095142
4,7,5,58249120.5960660129785538
4,7,6,179471179.5921781361103058
4,7,7,7868821.1935492483898997
4,7,8,194562708.7215962409973145
