Time Index,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,62.9082159760116468,62.9071888718389474,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,1,62.9082159760116326,62.9071888718389474,62.9061618354555918,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,1.5,62.9082159760116468,62.9071888718389616,62.9061618354555918,62.9051348668537855,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5,2,62.9082159760116326,62.9071888718389616,62.906161835455606,62.9051348668537784,62.9041079660257552,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,2.5,62.9082159760116468,62.9071888718389616,62.9061618354555918,62.9051348668537784,62.9041079660257694,62.9030811329637629,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7,3,62.9082159760116468,62.9071888718389616,62.906161835455606,62.9051348668537855,62.9041079660257552,62.9030811329637629,62.9020543676600212,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,3.5,62.9082159760116468,62.9071888718389474,62.9061618354555776,62.9051348668537855,62.9041079660257552,62.9030811329637629,62.9020543676600354,62.9010276701067781,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9,4,62.9082159760116468,62.9071888718389474,62.906161835455606,62.9051348668537855,62.9041079660257552,62.9030811329637629,62.9020543676600212,62.9010276701067781,62.9000010402962602,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10,4.5,62.9082159760116326,62.9071888718389616,62.906161835455606,62.9051348668537855,62.9041079660257552,62.9030811329637771,62.9020543676600212,62.9010276701067781,62.9000010402962744,62.8989744782207367,-nan,-nan,-nan,-nan,-nan,-nan
11,5,62.9082159760116326,62.9071888718389616,62.9061618354555918,62.9051348668537855,62.9041079660257552,62.9030811329637771,62.9020543676600354,62.9010276701067923,62.9000010402962602,62.8989744782207225,62.8979479838723989,-nan,-nan,-nan,-nan,-nan
12,5.5,38.6415934732425299,62.9071888718389616,62.9061618354555918,62.9051348668537855,62.9041079660257552,62.9030811329637629,62.902054367660007,62.9010276701067781,62.9000010402962744,62.8989744782207225,62.8979479838723989,62.8969215572435516,-nan,-nan,-nan,-nan
13,5.50391,38.9241626392336357,38.0700461616770269,62.9061618354555918,62.9051348668537784,62.9041079660257694,62.9030811329637771,62.9020543676600354,62.9010276701067781,62.9000010402962602,62.8989744782207225,62.8979479838723918,62.8969215572435374,62.8958951983263503,-nan,-nan,-nan
14,5.75391,39.6149606727236545,38.3327227601509719,38.0010418607319451,62.9051348668537855,62.9041079660257552,62.9030811329637771,62.9020543676600212,62.9010276701067781,62.9000010402962602,62.8989744782207225,62.8979479838724131,62.8969215572435374,62.8958951983263646,62.8948689071131426,-nan,-nan
